test_season,profile,rows,score_market_coverage,exact_accuracy,home_mae,away_mae,total_mae
2021,base,306,1.0,0.12745098039215685,1.016003131866455,0.8840810656547546,1.3331936597824097
2021,base_1x2,306,1.0,0.13071895424836602,0.9933049082756042,0.8703370094299316,1.3229568004608154
2021,base_totals,306,1.0,0.12418300653594772,0.9882702827453613,0.8754695057868958,1.3094429969787598
2021,base_totals_handicap,306,1.0,0.12745098039215685,0.9801226854324341,0.8639051914215088,1.3043559789657593
2021,base_all_score_markets,306,1.0,0.12418300653594772,0.9667168855667114,0.8563733100891113,1.2881193161010742
2022,base,306,1.0,0.07516339869281045,1.091915249824524,0.9464520215988159,1.4987046718597412
2022,base_1x2,306,1.0,0.0718954248366013,1.0963146686553955,0.942436158657074,1.481492280960083
2022,base_totals,306,1.0,0.05228758169934641,1.0875890254974365,0.9480851888656616,1.4883673191070557
2022,base_totals_handicap,306,1.0,0.0457516339869281,1.0863434076309204,0.9442296028137207,1.4766638278961182
2022,base_all_score_markets,306,1.0,0.05555555555555555,1.0945322513580322,0.9411829710006714,1.48179030418396
2023,base,306,1.0,0.09477124183006536,1.0422691106796265,0.9560245871543884,1.3679490089416504
2023,base_1x2,306,1.0,0.09803921568627451,1.0324208736419678,0.945759117603302,1.3575125932693481
2023,base_totals,306,1.0,0.08496732026143791,1.038739800453186,0.948312520980835,1.3511989116668701
2023,base_totals_handicap,306,1.0,0.08823529411764706,1.0316293239593506,0.9416348338127136,1.3547333478927612
2023,base_all_score_markets,306,1.0,0.08823529411764706,1.0304871797561646,0.9454335570335388,1.3559973239898682
2024,base,306,1.0,0.1111111111111111,1.0096702575683594,0.9034370183944702,1.3760313987731934
2024,base_1x2,306,1.0,0.11437908496732026,0.9921566843986511,0.8847019076347351,1.3584567308425903
2024,base_totals,306,1.0,0.12418300653594772,0.993756890296936,0.8929457068443298,1.3537673950195312
2024,base_totals_handicap,306,1.0,0.12418300653594772,0.9934662580490112,0.8780975341796875,1.3531757593154907
2024,base_all_score_markets,306,1.0,0.13398692810457516,0.9899024963378906,0.8753485679626465,1.3526663780212402
2025,base,306,1.0,0.08169934640522876,0.9723424911499023,0.8710675239562988,1.3012018203735352
2025,base_1x2,306,1.0,0.0915032679738562,0.9654796123504639,0.8514484167098999,1.3057565689086914
2025,base_totals,306,1.0,0.0915032679738562,0.9827529788017273,0.8770861625671387,1.3153176307678223
2025,base_totals_handicap,306,1.0,0.0915032679738562,0.9866057634353638,0.8613367080688477,1.330267071723938
2025,base_all_score_markets,306,1.0,0.08823529411764706,0.9887553453445435,0.8564596772193909,1.318203330039978
