profile,train_from,config,features,draw_multiplier,val_accuracy,val_log_loss,test_accuracy,test_log_loss,test_draw_rate
compact_teams,2017,regularized_shallow,105,1.0000000000000002,0.5669934640522876,0.9587044637120726,0.49019607843137253,1.0088200554844489,0.0457516339869281
compact,2015,regularized_shallow,103,1.2000000000000004,0.5588235294117647,0.9554395350552053,0.4869281045751634,1.0099240963083305,0.07516339869281045
compact,2017,regularized_shallow,103,1.3000000000000005,0.5588235294117647,0.956321717022764,0.4803921568627451,1.0095525123790836,0.13725490196078433
compact,2012,current_no_weights,103,0.9500000000000002,0.5571895424836601,0.9683426418119643,0.5163398692810458,1.0242345910237276,0.02287581699346405
compact_teams,2012,current_no_weights,105,0.9500000000000002,0.5555555555555556,0.9707325096059974,0.5163398692810458,1.016971529117877,0.029411764705882353
compact,2012,regularized_shallow,103,0.9500000000000002,0.553921568627451,0.9564314073448684,0.5098039215686274,1.0061951212804572,0.00980392156862745
compact,2015,current_no_weights,103,0.8,0.5506535947712419,0.9859852869237246,0.5196078431372549,1.0392296028204642,0.02287581699346405
compact_teams,2012,regularized_shallow,105,0.9000000000000001,0.5490196078431373,0.9561004214261797,0.5065359477124183,1.0089509694938834,0.0
compact_teams,2015,current_no_weights,105,0.9000000000000001,0.5490196078431373,0.9789871472852377,0.5163398692810458,1.0348953333614925,0.016339869281045753
compact_teams,2017,current_no_weights,105,0.9500000000000002,0.5490196078431373,0.9807759368066546,0.49673202614379086,1.033172374328698,0.058823529411764705
compact_teams,2015,regularized_shallow,105,1.2000000000000004,0.545751633986928,0.9544758769965226,0.48366013071895425,1.007614590771807,0.06862745098039216
compact,2017,current_no_weights,103,1.0000000000000002,0.545751633986928,0.9754687102282924,0.4869281045751634,1.025568519203203,0.0784313725490196
