test_season,profile,rows,clubelo_coverage,odds_weight,draw_multiplier,accuracy,log_loss,no_odds_accuracy,no_odds_log_loss
2019,base,232,1.0,0.8,1.2000000000000004,0.603448275862069,0.922840057146916,0.5474137931034483,0.982739135966586
2019,clubelo,232,1.0,0.8,1.2000000000000004,0.5948275862068966,0.9205370129670541,0.5517241379310345,0.9723173993994388
2019,clubelo_value_form,232,1.0,0.8,1.2000000000000004,0.5948275862068966,0.9192019134364344,0.5560344827586207,0.9667658220494061
2020,base,306,1.0,0.8,1.1500000000000004,0.5588235294117647,0.9315933437101773,0.5261437908496732,1.0003301171304828
2020,clubelo,306,1.0,0.8,0.9000000000000001,0.5490196078431373,0.936684176003468,0.5261437908496732,0.9988471476513328
2020,clubelo_value_form,306,1.0,0.8,0.9000000000000001,0.5522875816993464,0.9371064359904114,0.5228758169934641,1.0054130367138936
2021,base,306,1.0,0.8,1.3000000000000005,0.5261437908496732,0.9429246894201803,0.5130718954248366,0.9815840399010679
2021,clubelo,306,1.0,0.7000000000000001,1.0500000000000003,0.5424836601307189,0.9360468718240352,0.5098039215686274,0.9821612169720244
2021,clubelo_value_form,306,1.0,0.8,1.3000000000000005,0.5228758169934641,0.9435765110809909,0.5326797385620915,0.9902985072942586
2022,base,306,1.0,0.8,1.3000000000000005,0.5686274509803921,0.9271333805727641,0.5392156862745098,0.9719213853333061
2022,clubelo,306,1.0,0.7000000000000001,1.2000000000000004,0.5686274509803921,0.9274825040640401,0.5490196078431373,0.9668868938609363
2022,clubelo_value_form,306,1.0,0.8,1.2000000000000004,0.5718954248366013,0.9282261255809112,0.5620915032679739,0.983172805177882
2023,base,306,1.0,0.7000000000000001,1.0000000000000002,0.5816993464052288,0.8981938616245048,0.5751633986928104,0.9229119161334761
2023,clubelo,306,1.0,0.6000000000000001,1.0000000000000002,0.5784313725490197,0.9014542018379781,0.5718954248366013,0.9268235745593719
2023,clubelo_value_form,306,1.0,0.6000000000000001,0.9500000000000002,0.5784313725490197,0.9043019604769168,0.565359477124183,0.927300490825589
2024,base,306,1.0,0.8,1.1500000000000004,0.5555555555555556,0.9417896734398116,0.5359477124183006,0.9814844718548049
2024,clubelo,306,1.0,0.8,1.1500000000000004,0.5490196078431373,0.9418012106580553,0.5522875816993464,0.9806159002523239
2024,clubelo_value_form,306,1.0,0.8,1.1000000000000003,0.5555555555555556,0.9410321139919468,0.5392156862745098,0.9758494922117245
2025,base,306,0.8888888888888888,0.8,1.2500000000000004,0.5196078431372549,0.9777839970380273,0.5228758169934641,1.009922859431704
2025,clubelo,306,0.8888888888888888,0.8,1.2000000000000004,0.5294117647058824,0.9766321705581088,0.5130718954248366,1.0050133775402184
2025,clubelo_value_form,306,0.8888888888888888,0.8,1.1000000000000003,0.5228758169934641,0.9763561568903674,0.5163398692810458,1.000310743763147
