test_season,profile,rows,odds_weight,draw_multiplier,accuracy,log_loss,no_odds_accuracy,no_odds_log_loss
2019,none,232,0.8,1.2000000000000004,0.603448275862069,0.922840057146916,0.5474137931034483,0.982739135966586
2019,value_shape,232,0.8,1.2000000000000004,0.5991379310344828,0.9211266408280104,0.5517241379310345,0.9760901225359171
2019,value_form,232,0.8,1.1500000000000004,0.5948275862068966,0.920187947455369,0.5387931034482759,0.9781544284340933
2019,all,232,0.8,1.1500000000000004,0.5991379310344828,0.9216981266896982,0.5603448275862069,0.9869071769271697
2020,none,306,0.8,1.1500000000000004,0.5588235294117647,0.9315933437101773,0.5261437908496732,1.0003301171304828
2020,value_shape,306,0.6000000000000001,0.9000000000000001,0.5522875816993464,0.9472163162381529,0.5261437908496732,1.008432326621852
2020,value_form,306,0.8,0.9000000000000001,0.5555555555555556,0.9371292362783357,0.5326797385620915,1.0075964305205514
2020,all,306,0.8,0.9000000000000001,0.5522875816993464,0.9382831271555347,0.5261437908496732,1.012224924364718
2021,none,306,0.8,1.3000000000000005,0.5261437908496732,0.9429246894201803,0.5130718954248366,0.9815840399010679
2021,value_shape,306,0.8,1.3000000000000005,0.5359477124183006,0.9419977649110651,0.5392156862745098,0.9818007835310014
2021,value_form,306,0.8,1.4000000000000006,0.5326797385620915,0.9488338620245379,0.5490196078431373,0.9858522722393537
2021,all,306,0.8,1.3500000000000005,0.5228758169934641,0.9445350057443396,0.5392156862745098,0.9806035558916406
2022,none,306,0.8,1.3000000000000005,0.5686274509803921,0.9271333805727641,0.5392156862745098,0.9719213853333061
2022,value_shape,306,0.7000000000000001,1.3000000000000005,0.565359477124183,0.9342743129175617,0.5522875816993464,0.9859813792414779
2022,value_form,306,0.7000000000000001,1.1500000000000004,0.5686274509803921,0.9335058436083457,0.5555555555555556,0.9898765714197717
2022,all,306,0.4,1.1500000000000004,0.5620915032679739,0.9535536463440226,0.5490196078431373,0.9936221345032751
2023,none,306,0.7000000000000001,1.0000000000000002,0.5816993464052288,0.8981938616245048,0.5751633986928104,0.9229119161334761
2023,value_shape,306,0.7000000000000001,1.0000000000000002,0.5849673202614379,0.9007335116537208,0.5555555555555556,0.929238931907729
2023,value_form,306,0.4,0.9000000000000001,0.5849673202614379,0.9121400569998113,0.565359477124183,0.9269377205366348
2023,all,306,0.7000000000000001,0.9500000000000002,0.5718954248366013,0.9020483531226502,0.545751633986928,0.9276803480388601
2024,none,306,0.8,1.1500000000000004,0.5555555555555556,0.9417896734398116,0.5359477124183006,0.9814844718548049
2024,value_shape,306,0.7000000000000001,1.3000000000000005,0.545751633986928,0.9466249138690297,0.5424836601307189,0.9809977620288132
2024,value_form,306,0.8,1.1000000000000003,0.5555555555555556,0.9410175629501194,0.5424836601307189,0.9765824820310723
2024,all,306,0.7000000000000001,1.0000000000000002,0.5490196078431373,0.9462556846940672,0.545751633986928,0.9824546642876938
2025,none,306,0.8,1.2500000000000004,0.5196078431372549,0.9777839970380273,0.5228758169934641,1.009922859431704
2025,value_shape,306,0.8,1.1500000000000004,0.5294117647058824,0.9774105483010583,0.5196078431372549,1.008975323254789
2025,value_form,306,0.8,1.1000000000000003,0.5294117647058824,0.9776562494831792,0.5098039215686274,1.0076819122925014
2025,all,306,0.8,1.1000000000000003,0.5294117647058824,0.9763703785981306,0.5261437908496732,1.0002021216744903
