test_season,profile,rows,draw_multiplier,accuracy,log_loss,market_accuracy,market_log_loss
2019,odds_only,232,1.2000000000000004,0.5689655172413793,0.901384357309186,0.5905172413793104,0.9124961517401747
2019,odds_plus_score_markets,232,0.9000000000000001,0.5818965517241379,0.9158466340920807,0.5905172413793104,0.9124961517401747
2019,compact_plus_odds,232,0.8500000000000001,0.6163793103448276,0.9360635849916882,0.5905172413793104,0.9124961517401747
2019,compact_plus_all_markets,232,0.75,0.6120689655172413,0.9348690098395214,0.5905172413793104,0.9124961517401747
2019,value_form_plus_odds,232,0.8,0.603448275862069,0.9450291433290352,0.5905172413793104,0.9124961517401747
2020,odds_only,306,0.8500000000000001,0.565359477124183,0.9696946913717901,0.5555555555555556,0.9300087734646031
2020,odds_plus_score_markets,306,1.3000000000000005,0.5555555555555556,0.9386394598967249,0.5555555555555556,0.9300087734646031
2020,compact_plus_odds,306,0.7,0.5359477124183006,0.9939437626718268,0.5555555555555556,0.9300087734646031
2020,compact_plus_all_markets,306,0.7,0.5359477124183006,0.9807177528093391,0.5555555555555556,0.9300087734646031
2020,value_form_plus_odds,306,0.8,0.5196078431372549,0.9857748355691787,0.5555555555555556,0.9300087734646031
2021,odds_only,306,1.5500000000000007,0.5359477124183006,0.9567092873776658,0.5424836601307189,0.9264977546639044
2021,odds_plus_score_markets,306,1.6000000000000008,0.5424836601307189,0.9601449232421598,0.5424836601307189,0.9264977546639044
2021,compact_plus_odds,306,0.7,0.5490196078431373,0.9472018536759228,0.5424836601307189,0.9264977546639044
2021,compact_plus_all_markets,306,0.75,0.5522875816993464,0.9441366279357963,0.5424836601307189,0.9264977546639044
2021,value_form_plus_odds,306,0.9500000000000002,0.5392156862745098,0.9483152612657377,0.5424836601307189,0.9264977546639044
2022,odds_only,306,0.8500000000000001,0.5424836601307189,0.9347082929485525,0.5784313725490197,0.9205206012026044
2022,odds_plus_score_markets,306,1.3500000000000005,0.5490196078431373,0.9392593521379626,0.5784313725490197,0.9205206012026044
2022,compact_plus_odds,306,1.2000000000000004,0.5555555555555556,0.9599118915480124,0.5784313725490197,0.9205206012026044
2022,compact_plus_all_markets,306,1.3500000000000005,0.5294117647058824,0.9645668552930362,0.5784313725490197,0.9205206012026044
2022,value_form_plus_odds,306,1.5000000000000007,0.5130718954248366,0.9751122646239392,0.5784313725490197,0.9205206012026044
2023,odds_only,306,0.75,0.5816993464052288,0.9172229719429461,0.5849673202614379,0.8963900583379245
2023,odds_plus_score_markets,306,1.0000000000000002,0.5947712418300654,0.9112866333689115,0.5849673202614379,0.8963900583379245
2023,compact_plus_odds,306,1.0000000000000002,0.565359477124183,0.90709576645326,0.5849673202614379,0.8963900583379245
2023,compact_plus_all_markets,306,0.7,0.5751633986928104,0.9333108381026181,0.5849673202614379,0.8963900583379245
2023,value_form_plus_odds,306,0.8500000000000001,0.5784313725490197,0.9164500446772169,0.5849673202614379,0.8963900583379245
2024,odds_only,306,1.1500000000000004,0.565359477124183,0.9395253569559066,0.5522875816993464,0.9384759161780847
2024,odds_plus_score_markets,306,1.0500000000000003,0.5686274509803921,0.9451415902307038,0.5522875816993464,0.9384759161780847
2024,compact_plus_odds,306,1.1000000000000003,0.5326797385620915,0.955809722946397,0.5522875816993464,0.9384759161780847
2024,compact_plus_all_markets,306,1.1000000000000003,0.5424836601307189,0.9544310705529228,0.5522875816993464,0.9384759161780847
2024,value_form_plus_odds,306,0.9500000000000002,0.5522875816993464,0.9526964784129508,0.5522875816993464,0.9384759161780847
2025,odds_only,306,1.2500000000000004,0.5294117647058824,0.98126917278765,0.5326797385620915,0.9788572055659105
2025,odds_plus_score_markets,306,1.1500000000000004,0.5228758169934641,1.0282239321810653,0.5326797385620915,0.9788572055659105
2025,compact_plus_odds,306,1.3500000000000005,0.49019607843137253,0.9916805039651491,0.5326797385620915,0.9788572055659105
2025,compact_plus_all_markets,306,0.9500000000000002,0.5294117647058824,1.0047983221951888,0.5326797385620915,0.9788572055659105
2025,value_form_plus_odds,306,1.1000000000000003,0.5196078431372549,0.9872506198056417,0.5326797385620915,0.9788572055659105
