profile,model,features,odds_weight,draw_multiplier,val_accuracy,val_log_loss,test_accuracy,test_log_loss,test_draw_rate
player_form,current,118,0.4,1.0500000000000003,0.5784313725490197,0.9287534838556243,0.5196078431372549,0.990452232394014,0.0032679738562091504
none,shallow,103,0.8,1.2500000000000004,0.576797385620915,0.918576485458966,0.5196078431372549,0.9777839970380273,0.0032679738562091504
player_form,shallow,118,0.7000000000000001,1.3000000000000005,0.576797385620915,0.9195562952920565,0.5163398692810458,0.9786007240514701,0.02287581699346405
value_form,shallow,148,0.8,1.1000000000000003,0.5751633986928104,0.9177831236941149,0.5294117647058824,0.9776562494831792,0.0
value_shape,shallow,133,0.8,1.1500000000000004,0.5751633986928104,0.9185289077414204,0.5294117647058824,0.9774105483010583,0.0
value_form,current,148,0.8,1.2000000000000004,0.5735294117647058,0.9177114693671428,0.5261437908496732,0.9771413287470236,0.0
manager,shallow,118,0.8,1.2500000000000004,0.5735294117647058,0.9194630252282187,0.5196078431372549,0.9776058552670028,0.0032679738562091504
all,shallow,170,0.8,1.1000000000000003,0.5718954248366013,0.9184495231716139,0.5294117647058824,0.9763703785981306,0.0
none,current,103,0.8,1.2500000000000004,0.5718954248366013,0.9188860471016954,0.5196078431372549,0.9781545085515987,0.0032679738562091504
value_shape,current,133,0.8,1.1500000000000004,0.5718954248366013,0.9197076669375903,0.5261437908496732,0.9787351125278088,0.0
all,current,170,0.4,1.0500000000000003,0.5718954248366013,0.9359453744362236,0.5196078431372549,0.9867622962063417,0.013071895424836602
manager,current,118,0.8,1.2500000000000004,0.5702614379084967,0.9200703920365345,0.5228758169934641,0.9780187229070827,0.0
market_only,market,3,1.0,1.0,,,0.5326797385620915,0.9788572055659105,0.0
