half_life_days,features,draw_multiplier,validation_accuracy,validation_log_loss,validation_draw_rate,test_accuracy,test_log_loss,test_draw_rate
none,148,1.1000000000000003,0.553921568627451,0.9481504351539963,0.026143790849673203,0.5098039215686274,1.0051531627891672,0.032679738562091505
2920,148,1.0500000000000003,0.5490196078431373,0.9517402980314039,0.02287581699346405,0.5098039215686274,1.0125591611765714,0.029411764705882353
1460,148,0.8,0.5473856209150327,0.9692737230148222,0.004901960784313725,0.5163398692810458,1.0260223466444915,0.00980392156862745
365,148,0.8500000000000001,0.5441176470588235,0.9778698626285189,0.014705882352941176,0.5196078431372549,1.0237951198444357,0.02287581699346405
730,148,0.9500000000000002,0.5424836601307189,0.9665032465027741,0.024509803921568627,0.5130718954248366,1.0252545611153374,0.03594771241830065
