config,features,half_life_days,draw_multiplier,val_accuracy,val_log_loss,test_accuracy,test_log_loss,test_draw_rate
diff_compact,81,1460.0,0.8,0.5522875816993464,0.990986855090209,0.5098039215686274,1.0391643668327954,0.0196078431372549
all_none,222,,0.8,0.5473856209150327,0.9775213156875404,0.5098039215686274,1.0234466913085312,0.0032679738562091504
no_teams,220,1460.0,1.0000000000000002,0.5473856209150327,1.0021739904030316,0.5032679738562091,1.0238709241103983,0.0457516339869281
form_compact,79,1460.0,0.8500000000000001,0.545751633986928,0.9971425178913288,0.5163398692810458,1.0306258389374021,0.0392156862745098
no_stats,126,1460.0,1.0000000000000002,0.5392156862745098,0.9912073255919566,0.5065359477124183,1.0331881029660892,0.042483660130718956
all_2y,222,730.0,1.0000000000000002,0.5375816993464052,1.0112102060871513,0.5,1.0394620915182544,0.0718954248366013
no_cards,198,1460.0,0.8,0.5343137254901961,1.0096413446698673,0.5130718954248366,1.0418293846817674,0.013071895424836602
all_8y,222,2920.0,1.2000000000000004,0.5326797385620915,0.9912530060865489,0.49673202614379086,1.0178601274647974,0.10784313725490197
all_4y,222,1460.0,0.9500000000000002,0.5326797385620915,1.0010720445422236,0.5,1.0239645907564643,0.042483660130718956
