player_id,player,team,club_id,position,position_group,market_value_m,age,minutes_per_app,goals_per90,assists_per90,cards_per90,days_since,selected_proxy
552655,Troy Parrott,AZ,1090,Centre-Forward,att,25.0,24.57494866529774,75.3,0.47808764940239046,0.5976095617529881,0.11952191235059761,108.0,1
859035,Kees Smit,AZ,1090,Central Midfield,mid,25.0,20.61601642710472,73.4,0.2452316076294278,0.3678474114441417,0.3678474114441417,122.0,1
578804,Sven Mijnans,AZ,1090,Attacking Midfield,mid,15.0,26.483230663928815,90.0,0.6000000000000001,0.1,0.0,108.0,1
646707,Wouter Goes,AZ,1090,Centre-Back,def,15.0,22.22861054072553,79.0,0.0,0.0,0.0,108.0,1
361074,Peer Koopmeiners,AZ,1090,Defensive Midfield,mid,12.0,26.32991101984942,81.4,0.22113022113022113,0.0,0.0,108.0,1
479643,Alexandre Penetra,AZ,1090,Centre-Back,def,10.0,24.980150581793293,84.5,0.0,0.0,0.10650887573964497,108.0,1
678546,Mexx Meerdink,AZ,1090,Centre-Forward,att,8.0,23.110198494182068,28.8,0.625,0.0,0.3125,108.0,1
315254,Mees de Wit,AZ,1090,Left-Back,def,6.0,28.37782340862423,80.8,0.22277227722772278,0.22277227722772278,0.22277227722772278,115.0,1
577394,Denso Kasius,AZ,1090,Right-Back,def,6.0,23.906913073237508,45.8,0.0,0.3930131004366812,0.1965065502183406,108.0,1
704772,Rome-Jayden Owusu-Oduro,AZ,1090,Goalkeeper,gk,6.0,22.168377823408623,93.0,0.0,0.0967741935483871,0.0967741935483871,108.0,1
957241,Elijah Dijkstra,AZ,1090,Right-Back,def,6.0,20.076659822039698,76.5,0.0,0.0,0.0,108.0,1
801886,Isak Jensen,AZ,1090,Left Winger,att,5.0,22.694045174537987,67.6,0.13313609467455623,0.26627218934911245,0.0,108.0,0
959106,Weslley Patati,AZ,1090,Right Winger,att,4.5,22.921286789869953,39.3,0.0,0.22900763358778625,0.0,108.0,0
1066953,Mateo Chávez,AZ,1090,Left-Back,def,4.0,22.308008213552363,46.1,0.39045553145336226,0.19522776572668113,0.39045553145336226,69.0,0
724025,Matej Sin,AZ,1090,Attacking Midfield,mid,3.0,22.250513347022586,42.5,0.21176470588235294,0.0,0.0,132.0,0
800995,Ro-Zangelo Daal,AZ,1090,Left Winger,att,3.0,22.559890485968516,66.8,0.0,0.0,0.1347305389221557,108.0,0
1078350,Ayoub Oufkir,AZ,1090,Right Winger,att,3.0,20.659822039698838,24.8,0.0,0.0,0.3629032258064516,108.0,0
185817,Jizz Hornkamp,AZ,1090,Centre-Forward,att,2.5,28.490075290896645,36.4,0.4945054945054945,0.24725274725274726,0.0,179.0,0
988406,Kasper Boogaard,AZ,1090,Defensive Midfield,mid,2.5,20.591375770020534,58.9,0.0,0.15280135823429541,0.0,108.0,0
543501,Ibrahim Sadiq,AZ,1090,Right Winger,att,2.0,26.321697467488022,33.3,0.2702702702702703,0.0,0.2702702702702703,164.0,0
733438,Seiya Maikuma,AZ,1090,Right-Back,def,2.0,28.878850102669404,30.2,0.0,0.0,0.0,115.0,0
936294,Rion Ichihara,AZ,1090,Centre-Back,def,1.5,21.155373032169745,47.0,0.0,0.0,0.0,132.0,0
1008564,Billy van Duijl,AZ,1090,Centre-Back,def,1.5,20.91170431211499,62.5,0.144,0.0,0.0,132.0,0
104223,Jordy Clasie,AZ,1090,Defensive Midfield,mid,0.8,35.18412046543463,63.3,0.14218009478672985,0.14218009478672985,0.42654028436018954,108.0,0
646704,Maxim Dekker,AZ,1090,Centre-Back,def,0.65,22.365503080082135,46.2,0.0,0.0,0.0,214.0,0
990008,Wassim Bouziane,AZ,1090,Left Winger,att,0.45,19.696098562628336,17.75,0.0,1.0,0.0,228.0,0
79045,Jeroen Zoet,AZ,1090,Goalkeeper,gk,0.25,35.65503080082136,82.8,0.0,0.10869565217391304,0.0,151.0,0
116471,Hobie Verhulst,AZ,1090,Goalkeeper,gk,0.15,33.41820670773443,90.0,0.0,0.0,0.0,171.0,0
635371,Daniël Deen,AZ,1090,Goalkeeper,gk,0.1,23.550992470910334,0.0,0.0,0.0,0.0,,0
748804,Mika Godts,Ajax,610,Left Winger,att,35.0,21.23750855578371,88.9,0.7086614173228347,0.5061867266591676,0.0,123.0,1
559327,Youri Baas,Ajax,610,Centre-Back,def,20.0,23.463381245722108,90.0,0.0,0.0,0.1,108.0,1
930571,Oscar Gloukh,Ajax,610,Attacking Midfield,mid,13.0,22.420260095824776,47.2,0.1906779661016949,0.1906779661016949,0.1906779661016949,115.0,1
371001,Josip Sutalo,Ajax,610,Centre-Back,def,12.0,26.510609171800137,90.0,0.0,0.0,0.0,67.0,1
