match_key,date,home_team,away_team,tm_match_available,tm_home_prior_lineup_available,tm_home_prior_starter_count,tm_home_prior_lineup_value_sum_m,tm_home_prior_lineup_value_avg_m,tm_home_prior_lineup_value_top3_m,tm_home_prior_lineup_value_coverage,tm_home_prior_lineup_age,tm_home_prior_lineup_gk_share,tm_home_prior_lineup_def_share,tm_home_prior_lineup_mid_share,tm_home_prior_lineup_att_share,tm_home_prior_lineup_stability,tm_home_prior_players_minutes_per_app,tm_home_prior_players_goals_per90,tm_home_prior_players_assists_per90,tm_home_prior_players_cards_per90,tm_home_prior_players_days_since,tm_home_manager_available,tm_home_manager_changed,tm_home_manager_matches,tm_home_manager_ppg,tm_home_manager_gd_per_match,tm_away_prior_lineup_available,tm_away_prior_starter_count,tm_away_prior_lineup_value_sum_m,tm_away_prior_lineup_value_avg_m,tm_away_prior_lineup_value_top3_m,tm_away_prior_lineup_value_coverage,tm_away_prior_lineup_age,tm_away_prior_lineup_gk_share,tm_away_prior_lineup_def_share,tm_away_prior_lineup_mid_share,tm_away_prior_lineup_att_share,tm_away_prior_lineup_stability,tm_away_prior_players_minutes_per_app,tm_away_prior_players_goals_per90,tm_away_prior_players_assists_per90,tm_away_prior_players_cards_per90,tm_away_prior_players_days_since,tm_away_manager_available,tm_away_manager_changed,tm_away_manager_matches,tm_away_manager_ppg,tm_away_manager_gd_per_match,tm_diff_manager_available,tm_diff_manager_changed,tm_diff_manager_gd_per_match,tm_diff_manager_matches,tm_diff_manager_ppg,tm_diff_prior_lineup_age,tm_diff_prior_lineup_att_share,tm_diff_prior_lineup_available,tm_diff_prior_lineup_def_share,tm_diff_prior_lineup_gk_share,tm_diff_prior_lineup_mid_share,tm_diff_prior_lineup_stability,tm_diff_prior_lineup_value_avg_m,tm_diff_prior_lineup_value_coverage,tm_diff_prior_lineup_value_sum_m,tm_diff_prior_lineup_value_top3_m,tm_diff_prior_players_assists_per90,tm_diff_prior_players_cards_per90,tm_diff_prior_players_days_since,tm_diff_prior_players_goals_per90,tm_diff_prior_players_minutes_per_app,tm_diff_prior_starter_count
2012-08-18|pec zwolle|vitesse,2012-08-18,PEC Zwolle,Vitesse,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-18|vvv venlo|fc utrecht,2012-08-18,VVV Venlo,FC Utrecht,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-18|feyenoord|heerenveen,2012-08-18,Feyenoord,Heerenveen,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2.0,0.0,0.0,3.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-19|fc groningen|willem ii,2012-08-19,FC Groningen,Willem II,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.0,0.0,-1.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-19|az|heracles,2012-08-19,AZ,Heracles,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-19|ado den haag|waalwijk,2012-08-19,ADO Den Haag,Waalwijk,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,3.0,1.0,0.0,0.0,-1.0,0.0,-2.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-19|nec|ajax,2012-08-19,NEC,Ajax,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,3.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-24|waalwijk|roda jc,2012-08-24,Waalwijk,Roda JC,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,2.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-5.0,0.0,0.0,5.5,1.0,2.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-25|fc utrecht|pec zwolle,2012-08-25,FC Utrecht,PEC Zwolle,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,1.5,0.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.5,-0.5,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,0.0
2012-08-25|vvv venlo|ado den haag,2012-08-25,VVV Venlo,ADO Den Haag,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.5,-1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0,0.0,-0.5,,,0.0,,,,,,,,,,,,,,0.0
2012-08-25|ajax|nac breda,2012-08-25,Ajax,NAC Breda,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,2.0,2.5,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.5,-0.5,0.0,0.0,3.0,0.0,1.5,,,0.0,,,,,,,,,,,,,,0.0
